time_idx,Energy_kwh,house_hold,temperature,windSpeed,precipType,icon,summary,holiday,bool_weather_missing_values,year,month,day,hour,dayofweek_num
0,0.452,0,14.34,2.65,0,0,0,0,0,0,0,0,0,0
1,0.46599999999999997,0,13.39,2.52,0,0,0,0,0,0,0,0,1,0
2,1.375,0,12.83,2.33,0,0,0,0,0,0,0,0,2,0
3,1.225,0,12.48,3.37,0,0,0,0,0,0,0,0,3,0
4,0.162,0,12.97,3.06,0,1,0,0,0,0,0,0,4,0
5,0.151,0,13.2,3.16,0,1,0,0,0,0,0,0,5,0
6,0.235,0,13.86,3.39,0,2,1,0,0,0,0,0,6,0
7,0.236,0,15.29,3.96,0,2,1,0,0,0,0,0,7,0
8,0.223,0,16.69,4.45,0,3,2,0,0,0,0,0,8,0
9,0.20600000000000002,0,17.6,5.42,0,3,2,0,0,0,0,0,9,0
10,0.122,0,18.52,5.06,0,3,2,0,0,0,0,0,10,0
11,0.118,0,20.41,5.67,0,3,2,0,0,0,0,0,11,0
12,0.115,0,21.48,6.07,0,3,2,0,0,0,0,0,12,0
13,0.11499999999999999,0,21.6,5.82,0,3,2,0,0,0,0,0,13,0
14,0.118,0,21.64,5.45,0,3,2,0,0,0,0,0,14,0
15,0.128,0,22.43,5.7,0,3,2,0,0,0,0,0,15,0
16,0.214,0,22.89,4.66,0,3,3,0,0,0,0,0,16,0
17,0.212,0,22.51,4.8,0,3,3,0,0,0,0,0,17,0
18,0.221,0,22.28,4.12,0,3,3,0,0,0,0,0,18,0
19,0.213,0,21.5,3.79,0,3,3,0,0,0,0,0,19,0
20,0.213,0,19.81,2.93,0,3,3,0,0,0,0,0,20,0
21,0.219,0,17.95,3.25,0,4,3,0,0,0,0,0,21,0
22,0.209,0,17.1,2.9,0,0,0,0,0,0,0,0,22,0
23,0.11399999999999999,0,16.01,2.58,0,0,0,0,0,0,0,0,23,0
24,0.114,0,14.92,2.0,0,0,0,0,0,0,0,1,0,1
25,0.11399999999999999,0,14.4,1.91,0,0,0,0,0,0,0,1,1,1
26,0.11699999999999999,0,13.43,1.55,0,0,0,0,0,0,0,1,2,1
27,0.114,0,12.85,1.29,0,0,0,0,0,0,0,1,3,1
28,0.114,0,12.9,1.18,0,1,0,0,0,0,0,1,4,1
29,0.122,0,12.63,1.23,0,3,2,0,0,0,0,1,5,1
30,0.21,0,14.57,0.81,0,3,3,0,0,0,0,1,6,1
31,0.21100000000000002,0,16.92,1.79,0,3,3,0,0,0,0,1,7,1
32,0.209,0,18.59,2.44,0,3,3,0,0,0,0,1,8,1
33,0.199,0,19.91,2.47,0,3,3,0,0,0,0,1,9,1
34,0.137,0,21.02,1.68,0,3,3,0,0,0,0,1,10,1
35,0.11399999999999999,0,22.1,1.1,0,3,3,0,0,0,0,1,11,1
36,0.108,0,23.27,0.71,0,3,3,0,0,0,0,1,12,1
37,0.16699999999999998,0,23.76,1.41,0,3,3,0,0,0,0,1,13,1
38,0.115,0,24.1,2.15,0,3,3,0,0,0,0,1,14,1
39,0.13,0,24.62,1.94,0,3,3,0,0,0,0,1,15,1
40,0.214,0,24.52,2.61,0,3,3,0,0,0,0,1,16,1
41,0.215,0,24.32,2.68,0,3,3,0,0,0,0,1,17,1
42,0.221,0,23.21,2.97,0,3,2,0,0,0,0,1,18,1
43,0.213,0,21.83,2.93,0,3,2,0,0,0,0,1,19,1
44,0.217,0,20.53,2.65,0,3,2,0,0,0,0,1,20,1
45,0.219,0,18.64,2.36,0,0,0,0,0,0,0,1,21,1
46,0.20600000000000002,0,17.5,1.39,0,0,0,0,0,0,0,1,22,1
47,0.119,0,16.39,1.15,0,0,0,0,0,0,0,1,23,1
48,0.11699999999999999,0,15.77,1.14,0,0,0,0,0,0,0,2,0,2
49,0.112,0,15.17,1.76,0,0,0,0,0,0,0,2,1,2
50,0.122,0,14.6,1.31,0,0,0,0,0,0,0,2,2,2
51,0.11,0,13.64,1.11,0,0,0,0,0,0,0,2,3,2
52,0.11699999999999999,0,13.48,1.3,0,1,0,0,0,0,0,2,4,2
53,0.12,0,14.11,0.97,0,1,0,0,0,0,0,2,5,2
54,0.213,0,15.26,1.0,0,1,0,0,0,0,0,2,6,2
55,0.221,0,16.99,1.56,0,1,0,0,0,0,0,2,7,2
56,0.212,0,19.31,1.55,0,3,3,0,0,0,0,2,8,2
57,0.203,0,20.65,1.39,0,3,3,0,0,0,0,2,9,2
58,0.111,0,22.41,1.65,0,1,0,0,0,0,0,2,10,2
59,0.112,0,23.48,1.17,0,3,3,0,0,0,0,2,11,2
60,0.118,0,24.4,1.07,0,3,3,0,0,0,0,2,12,2
61,0.112,0,25.43,1.16,0,1,0,0,0,0,0,2,13,2
62,0.115,0,26.47,1.13,0,1,0,0,0,0,0,2,14,2
63,0.131,0,26.25,1.2,0,1,0,0,0,0,0,2,15,2
64,0.218,0,26.2,2.32,0,1,0,0,0,0,0,2,16,2
65,0.217,0,26.06,1.81,0,1,0,0,0,0,0,2,17,2
66,0.216,0,24.53,1.74,0,1,0,0,0,0,0,2,18,2
67,0.22,0,22.97,1.66,0,1,0,0,0,0,0,2,19,2
68,0.217,0,21.6,1.64,0,1,0,0,0,0,0,2,20,2
69,0.217,0,20.31,1.98,0,0,0,0,0,0,0,2,21,2
70,0.21100000000000002,0,19.16,2.19,0,0,0,0,0,0,0,2,22,2
71,0.5389999999999999,0,18.11,1.98,0,0,0,0,0,0,0,2,23,2
72,0.579,0,17.52,1.69,0,0,0,0,0,0,0,3,0,3
73,0.36,0,16.53,1.37,0,0,0,0,0,0,0,3,1,3
74,0.123,0,16.03,0.97,0,0,0,0,0,0,0,3,2,3
75,0.116,0,15.83,0.99,0,0,0,0,0,0,0,3,3,3
76,0.11599999999999999,0,14.99,0.69,0,1,0,0,0,0,0,3,4,3
77,0.128,0,15.17,0.54,0,1,0,0,0,0,0,3,5,3
78,0.214,0,16.66,1.08,0,1,0,0,0,0,0,3,6,3
79,0.211,0,19.15,0.91,0,1,0,0,0,0,0,3,7,3
80,0.216,0,21.67,2.24,0,1,0,0,0,0,0,3,8,3
81,0.20900000000000002,0,23.37,3.18,0,1,0,0,0,0,0,3,9,3
82,0.155,0,24.81,3.5,0,1,0,0,0,0,0,3,10,3
83,0.118,0,25.49,3.05,0,3,3,0,0,0,0,3,11,3
84,0.12,0,26.78,3.65,0,3,3,0,0,0,0,3,12,3
85,0.123,0,27.28,4.08,0,3,3,0,0,0,0,3,13,3
86,0.121,0,26.98,4.06,0,3,3,0,0,0,0,3,14,3
87,0.132,0,26.82,4.19,0,3,3,0,0,0,0,3,15,3
88,0.228,0,26.27,4.14,0,3,3,0,0,0,0,3,16,3
89,0.226,0,25.74,4.46,0,3,3,0,0,0,0,3,17,3
90,0.225,0,24.15,4.5,0,3,3,0,0,0,0,3,18,3
91,0.229,0,22.96,3.71,0,3,3,0,0,0,0,3,19,3
92,0.221,0,21.58,3.25,0,1,0,0,0,0,0,3,20,3
93,0.225,0,19.99,3.0,0,0,0,0,0,0,0,3,21,3
94,0.212,0,19.11,2.52,0,0,0,0,0,0,0,3,22,3
95,0.126,0,18.46,2.29,0,0,0,0,0,0,0,3,23,3
96,0.127,0,17.87,2.26,0,0,0,0,0,0,0,4,0,4
97,0.12,0,16.88,2.01,0,0,0,0,0,0,0,4,1,4
