time_idx,Energy_kwh,house_hold,temperature,windSpeed,precipType,icon,summary,holiday,bool_weather_missing_values,year,month,day,hour,dayofweek_num
0,1.042,0,7.01,5.46,0,0,0,1,0,0,0,0,0,0
1,0.585,0,7.49,5.51,0,0,0,0,0,0,0,0,1,0
2,0.556,0,7.16,5.74,0,0,0,0,0,0,0,0,2,0
3,0.503,0,7.04,4.98,0,0,0,0,0,0,0,0,3,0
4,0.437,0,6.29,4.2,0,0,0,0,0,0,0,0,4,0
5,0.473,0,6.2,4.37,0,0,0,0,0,0,0,0,5,0
6,0.546,0,5.73,4.71,0,0,0,0,0,0,0,0,6,0
7,0.733,0,5.04,5.22,0,0,0,0,0,0,0,0,7,0
8,0.892,0,5.76,4.86,0,0,0,0,0,0,0,0,8,0
9,0.9470000000000001,0,5.36,4.48,0,1,0,0,0,0,0,0,9,0
10,0.929,0,5.22,4.03,0,1,0,0,0,0,0,0,10,0
11,3.316,0,4.44,4.0,0,1,1,0,0,0,0,0,11,0
12,2.709,0,4.01,4.15,0,1,0,0,0,0,0,0,12,0
13,2.755,0,3.94,3.8,0,1,1,0,0,0,0,0,13,0
14,3.3590001,0,3.37,3.25,0,1,0,0,0,0,0,0,14,0
15,4.1969999,0,3.31,2.97,0,2,2,0,0,0,0,0,15,0
16,3.3529999,0,3.34,3.37,0,0,0,0,0,0,0,0,16,0
17,2.505,0,3.36,3.06,0,3,2,0,0,0,0,0,17,0
18,4.381,0,3.5,3.05,0,0,1,0,0,0,0,0,18,0
19,2.056,0,4.42,3.17,0,0,0,0,0,0,0,0,19,0
20,1.5899999999999999,0,4.93,3.1,0,0,0,0,0,0,0,0,20,0
21,2.0789999999999997,0,5.55,3.02,0,0,0,0,0,0,0,0,21,0
22,4.0820001,0,6.1,3.52,0,0,0,0,0,0,0,0,22,0
23,1.455,0,6.77,3.4,0,0,1,0,0,0,0,0,23,0
24,0.641,0,4.01,4.15,0,0,0,0,0,0,0,1,0,1
25,0.581,0,3.94,3.8,0,0,1,0,0,0,0,1,1,1
26,0.552,0,3.37,3.25,0,0,0,0,0,0,0,1,2,1
27,0.618,0,3.31,2.97,0,3,2,0,0,0,0,1,3,1
28,0.552,0,3.34,3.37,0,0,0,0,0,0,0,1,4,1
29,0.577,0,3.36,3.06,0,3,2,0,0,0,0,1,5,1
30,0.705,0,3.5,3.05,0,0,1,0,0,0,0,1,6,1
31,0.623,0,4.42,3.17,0,0,0,0,0,0,0,1,7,1
32,1.252,0,4.93,3.1,0,0,0,0,0,0,0,1,8,1
33,0.8520000000000001,0,5.55,3.02,0,1,0,0,0,0,0,1,9,1
34,0.9910000000000001,0,6.1,3.52,0,1,0,0,0,0,0,1,10,1
35,2.6689999,0,6.77,3.4,0,1,1,0,0,0,0,1,11,1
36,2.41,0,7.22,3.41,0,1,1,0,0,0,0,1,12,1
37,3.4260000999999995,0,7.58,4.0,0,1,1,0,0,0,0,1,13,1
38,3.7610000999999995,0,7.53,4.48,0,1,1,0,0,0,0,1,14,1
39,1.5439999999999998,0,7.64,4.14,0,1,1,0,0,0,0,1,15,1
40,1.07,0,8.17,4.04,0,0,1,0,0,0,0,1,16,1
41,0.721,0,8.78,4.52,0,0,1,0,0,0,0,1,17,1
42,0.7210000000000001,0,9.42,4.85,0,0,1,0,0,0,0,1,18,1
43,2.8620001,0,9.86,4.74,0,0,1,0,0,0,0,1,19,1
44,1.533,0,10.33,4.74,0,0,1,0,0,0,0,1,20,1
45,1.196,0,10.51,4.73,0,0,1,0,0,0,0,1,21,1
46,1.744,0,10.82,4.15,0,0,1,0,0,0,0,1,22,1
47,0.9470000000000001,0,10.77,4.11,0,0,0,0,0,0,0,1,23,1
48,0.78,0,10.69,4.78,0,0,1,0,0,0,0,2,0,2
49,0.529,0,10.31,4.18,0,0,0,0,0,0,0,2,1,2
50,0.487,0,10.27,4.33,0,0,1,0,0,0,0,2,2,2
51,0.487,0,10.28,4.27,0,0,1,0,0,0,0,2,3,2
52,0.528,0,10.19,3.95,0,0,1,0,0,0,0,2,4,2
53,0.502,0,9.74,3.82,0,0,1,0,0,0,0,2,5,2
54,0.592,0,9.72,4.81,0,0,0,0,0,0,0,2,6,2
55,1.071,0,9.65,5.21,0,0,1,0,0,0,0,2,7,2
56,0.878,0,9.73,4.94,0,0,1,0,0,0,0,2,8,2
57,0.8009999999999999,0,10.13,4.49,0,1,1,0,0,0,0,2,9,2
58,0.947,0,10.26,4.6,0,1,0,0,0,0,0,2,10,2
59,0.836,0,10.42,4.77,0,1,0,0,0,0,0,2,11,2
60,0.7869999999999999,0,10.92,4.02,0,1,0,0,0,0,0,2,12,2
61,0.62,0,11.41,4.3,0,1,0,0,0,0,0,2,13,2
62,0.585,0,11.39,4.49,0,1,0,0,0,0,0,2,14,2
63,0.671,0,11.38,4.29,0,1,0,0,0,0,0,2,15,2
64,0.681,0,10.86,4.07,0,0,0,0,0,0,0,2,16,2
65,0.754,0,10.42,3.73,0,0,0,0,0,0,0,2,17,2
66,1.0110000000000001,0,10.71,3.75,0,0,0,0,0,0,0,2,18,2
67,1.0819999999999999,0,10.69,4.85,0,0,1,0,0,0,0,2,19,2
68,1.7590000000000001,0,10.79,4.48,0,0,1,0,0,0,0,2,20,2
69,2.2380001,0,10.85,4.37,0,0,1,0,0,0,0,2,21,2
70,2.495,0,11.21,3.92,0,4,3,0,0,0,0,2,22,2
71,1.1680000000000001,0,10.84,4.57,0,0,1,0,0,0,0,2,23,2
72,0.484,0,10.79,4.76,0,0,1,1,0,0,0,3,0,3
73,0.521,0,10.28,4.75,0,4,3,0,0,0,0,3,1,3
74,0.476,0,10.2,4.41,0,4,3,0,0,0,0,3,2,3
75,0.479,0,9.82,4.56,0,4,3,0,0,0,0,3,3,3
76,0.507,0,9.76,4.97,0,4,3,0,0,0,0,3,4,3
77,0.493,0,9.76,4.61,0,4,3,0,0,0,0,3,5,3
78,0.534,0,9.72,5.44,0,0,1,0,0,0,0,3,6,3
79,1.03,0,9.55,4.74,0,0,1,0,0,0,0,3,7,3
80,1.121,0,9.57,4.38,0,0,1,0,0,0,0,3,8,3
81,0.5640000000000001,0,9.31,4.36,0,1,1,0,0,0,0,3,9,3
82,0.59,0,9.61,4.22,0,1,1,0,0,0,0,3,10,3
83,0.552,0,9.76,4.43,0,1,0,0,0,0,0,3,11,3
84,0.5700000000000001,0,9.71,5.3,0,1,1,0,0,0,0,3,12,3
85,0.612,0,9.84,4.97,0,1,1,0,0,0,0,3,13,3
86,0.5820000000000001,0,10.15,4.94,0,1,1,0,0,0,0,3,14,3
87,0.622,0,10.17,4.11,0,1,1,0,0,0,0,3,15,3
88,0.634,0,9.75,3.5,0,0,1,0,0,0,0,3,16,3
89,0.619,0,9.67,3.55,0,0,1,0,0,0,0,3,17,3
90,0.646,0,9.58,3.33,0,0,1,0,0,0,0,3,18,3
91,1.107,0,9.49,3.57,0,0,1,0,0,0,0,3,19,3
92,1.483,0,9.04,3.37,0,0,1,0,0,0,0,3,20,3
93,2.301,0,9.08,3.55,0,0,1,0,0,0,0,3,21,3
94,1.415,0,8.62,3.69,0,0,1,0,0,0,0,3,22,3
95,0.533,0,8.17,4.1,0,4,3,0,0,0,0,3,23,3
96,0.511,0,8.12,3.86,0,0,1,0,0,0,0,4,0,4
97,0.46699999999999997,0,8.09,3.53,0,0,1,0,0,0,0,4,1,4
98,0.46499999999999997,0,8.07,3.53,0,0,1,0,0,0,0,4,2,4
99,0.503,0,8.09,3.5,0,0,1,0,0,0,0,4,3,4
100,0.46299999999999997,0,8.09,3.09,0,0,1,0,0,0,0,4,4,4
101,0.484,0,8.14,2.6,0,0,1,0,0,0,0,4,5,4
102,0.569,0,8.14,2.59,0,0,1,0,0,0,0,4,6,4
103,0.5660000000000001,0,8.18,1.61,0,0,1,0,0,0,0,4,7,4
104,1.145,0,8.69,1.61,0,0,1,0,0,0,0,4,8,4
105,0.884,0,8.75,2.37,0,1,1,0,0,0,0,4,9,4
106,0.69,0,9.17,2.62,0,1,1,0,0,0,0,4,10,4
107,0.675,0,9.8,3.05,0,1,1,0,0,0,0,4,11,4
108,0.87,0,10.32,3.88,0,1,1,0,0,0,0,4,12,4
